Unique ID,Name,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value
172653,Nitrogen dioxide (NO2),UHF34,203,Bedford Stuyvesant - Crown Heights,Annual Average 2011,12/1/10,25.3
172585,Nitrogen dioxide (NO2),UHF34,203,Bedford Stuyvesant - Crown Heights,Annual Average 2009,12/1/08,26.93
336637,Nitrogen dioxide (NO2),UHF34,204,East New York,Annual Average 2015,1/1/15,19.09
336622,Nitrogen dioxide (NO2),UHF34,103,Fordham - Bronx Pk,Annual Average 2015,1/1/15,19.76
172582,Nitrogen dioxide (NO2),UHF34,104,Pelham - Throgs Neck,Annual Average 2009,12/1/08,22.83
667327,Nitrogen dioxide (NO2),UHF34,104,Pelham - Throgs Neck,Annual Average 2020,1/1/20,16.19
172607,Nitrogen dioxide (NO2),UHF34,306308,Chelsea-Village,Annual Average 2009,12/1/08,38.16
172675,Nitrogen dioxide (NO2),UHF34,306308,Chelsea-Village,Annual Average 2011,12/1/10,34.96
175345,Nitrogen dioxide (NO2),UHF42,206,Borough Park,Winter 2010-11,12/1/10,30.1
176689,Nitrogen dioxide (NO2),UHF42,206,Borough Park,Annual Average 2013,12/1/12,20.23
176682,Nitrogen dioxide (NO2),UHF42,106,High Bridge - Morrisania,Annual Average 2013,12/1/12,23.73
336507,Nitrogen dioxide (NO2),UHF42,106,High Bridge - Morrisania,Winter 2014-15,12/1/14,26
740910,Nitrogen dioxide (NO2),UHF42,106,High Bridge - Morrisania,Annual Average 2021,1/1/21,18.04
175348,Nitrogen dioxide (NO2),UHF42,209,Bensonhurst - Bay Ridge,Winter 2010-11,12/1/10,28.44
175894,Nitrogen dioxide (NO2),UHF42,209,Bensonhurst - Bay Ridge,Summer 2009,6/1/09,18.95
175895,Nitrogen dioxide (NO2),UHF42,210,Coney Island - Sheepshead Bay,Summer 2009,6/1/09,15.22
175349,Nitrogen dioxide (NO2),UHF42,210,Coney Island - Sheepshead Bay,Winter 2010-11,12/1/10,25.7
176693,Nitrogen dioxide (NO2),UHF42,210,Coney Island - Sheepshead Bay,Annual Average 2013,12/1/12,16.36
